Provinces,Fried,Grilled,Spicy,Tongue-numbing,Instant-boiled,Sweet,Diabetes,Hypertension,FPG,PPG,BMI
Beijing,0.24,0.27,0.33,0.17,0.17,0.45,0.18,0.45,5.99,6.18,25.70
Tianjin,0.25,0.22,0.32,0.17,0.13,0.45,0.23,0.49,5.90,6.64,25.50
Hebei,0.24,0.20,0.33,0.18,0.13,0.41,0.17,0.51,5.67,6.91,25.30
Shaanxi,0.24,0.20,0.34,0.19,0.15,0.41,0.13,0.46,5.59,6.34,24.80
Neimenggu,0.23,0.20,0.34,0.18,0.13,0.42,0.14,0.46,5.61,6.33,24.80
Liaoning,0.26,0.27,0.34,0.18,0.15,0.43,0.15,0.48,5.98,6.72,24.70
Jilin,0.22,0.24,0.34,0.18,0.14,0.40,0.18,0.44,5.89,6.51,24.70
Heilongjiang,0.24,0.24,0.35,0.19,0.15,0.40,0.13,0.43,5.53,6.64,24.60
Shanghai,0.21,0.19,0.27,0.12,0.13,0.52,0.19,0.44,5.98,6.57,24.20
Jiangsu,0.20,0.19,0.30,0.14,0.12,0.46,0.13,0.48,5.78,6.61,24.40
Zhejiang,0.19,0.19,0.29,0.13,0.12,0.47,0.13,0.37,5.43,6.00,23.30
Anhui,0.21,0.19,0.33,0.17,0.16,0.46,0.14,0.47,5.83,6.54,23.60
Fujian,0.20,0.19,0.28,0.14,0.14,0.47,0.13,0.27,5.70,6.62,23.10
Jiangxi,0.18,0.17,0.32,0.15,0.12,0.43,0.12,0.29,5.56,5.91,23.00
Shandong,0.23,0.20,0.30,0.15,0.11,0.41,0.14,0.44,5.75,6.39,24.90
Henan,0.22,0.17,0.33,0.17,0.13,0.39,0.14,0.41,5.65,6.50,24.70
Hubei,0.20,0.19,0.33,0.16,0.15,0.42,0.10,0.35,5.52,6.14,23.70
Hunan,0.20,0.20,0.38,0.16,0.14,0.47,0.09,0.28,5.51,6.12,23.30
Guangdong,0.20,0.19,0.31,0.15,0.13,0.50,0.17,0.34,6.06,6.89,23.00
Guangxi,0.17,0.17,0.28,0.13,0.11,0.43,0.12,0.25,5.69,6.23,22.70
Hainan,0.20,0.23,0.31,0.15,0.15,0.44,0.11,0.24,5.91,6.61,22.30
Chongqing,0.17,0.19,0.36,0.20,0.20,0.39,0.13,0.42,5.50,6.71,23.80
Sichuan,0.17,0.20,0.36,0.22,0.20,0.40,0.11,0.30,5.52,6.47,23.60
Yunnan,0.17,0.18,0.32,0.17,0.15,0.41,0.07,0.25,5.31,5.48,22.80
Tibet,0.21,0.20,0.44,0.25,0.18,0.46,0.09,0.36,4.67,5.38,22.70
Shanxi,0.23,0.20,0.38,0.20,0.18,0.41,0.09,0.42,5.13,5.87,23.40
Gansu,0.18,0.16,0.35,0.19,0.16,0.36,0.10,0.36,5.19,5.97,23.90
Qinghai,0.19,0.16,0.37,0.19,0.15,0.37,0.06,0.29,5.18,5.37,23.50
Ningxia,0.20,0.18,0.38,0.21,0.16,0.41,0.09,0.34,5.22,5.66,24.00
Xinjiang,0.18,0.16,0.33,0.18,0.12,0.36,0.14,0.34,5.70,6.48,24.80
,,,,,,,,,,,
